date,code,shares,close,value
2026-09-01,sz.002656,300,3.03,909.0
2026-09-01,sz.000599,200,4.87,974.0
2026-09-01,sh.600969,100,10.29,1029.0
2026-09-01,sz.002301,100,8.19,819.0
2026-09-01,sh.600525,100,5.26,526.0
2026-09-01,sh.600241,100,7.7,770.0
2026-09-01,sh.600718,100,8.36,836.0
2026-09-01,sh.605567,100,9.85,985.0
2026-09-01,sz.002059,200,4.77,954.0
2026-09-01,sz.000567,100,7.09,709.0
2026-09-01,sz.002905,100,8.37,837.0
2026-09-01,sz.002762,100,9.41,941.0
2026-09-01,sz.002763,100,7.75,775.0
2026-09-01,sz.000906,100,5.94,594.0
2026-09-01,sh.600817,100,9.87,987.0
2026-09-01,sz.002496,400,2.24,896.0
2026-09-01,sh.600569,500,1.85,925.0
2026-09-01,sh.600278,100,6.61,661.0
2026-09-01,sh.603488,100,8.35,835.0
2026-09-01,sz.000042,100,8.71,871.0
2026-09-01,sh.600982,200,4.93,986.0
2026-09-01,sz.000626,100,9.32,932.0
2026-09-01,sh.600195,100,6.85,685.0
2026-09-01,sh.603878,200,5.19,1038.0
2026-09-01,sh.601665,100,7.13,713.0
2026-09-01,sh.601598,100,6.7,670.0
2026-09-01,sz.001213,200,3.57,714.0
2026-09-01,sh.600935,400,2.37,948.0
2026-09-01,sz.000798,100,10.0,1000.0
2026-09-01,sh.601375,200,4.23,846.0
2026-09-01,sh.603708,100,9.57,957.0
2026-09-01,sh.603779,100,8.34,834.0
2026-09-01,sz.002234,100,8.34,834.0
2026-09-01,sz.003000,100,9.82,982.0
2026-09-01,sz.002642,100,7.4,740.0
2026-09-01,sz.000156,100,7.11,711.0
2026-09-01,sz.000972,200,3.93,786.0
2026-09-01,sh.603085,100,10.27,1027.0
2026-09-01,sh.603088,100,10.34,1034.0
2026-09-01,sz.000779,100,10.14,1014.0
2026-09-01,sh.600851,100,8.73,873.0
2026-09-01,sz.002644,100,8.81,881.0
2026-09-01,sh.600231,500,1.78,890.0
2026-09-01,sh.601999,100,6.39,639.0
2026-09-01,sh.601827,100,8.21,821.0
2026-09-01,sz.002264,100,6.98,698.0
2026-09-01,sh.601388,200,3.51,702.0
2026-09-01,sz.000089,100,6.65,665.0
2026-09-01,sh.601333,300,3.12,936.0
2026-09-01,sz.002817,100,6.88,688.0
2026-09-01,sz.000717,400,2.35,940.0
2026-09-01,sz.000848,100,8.42,842.0
2026-09-01,sh.600135,100,7.6,760.0
2026-09-01,sh.603669,100,5.38,538.0
2026-09-01,sh.600094,200,3.97,794.0
2026-09-01,sh.600510,100,7.0,700.0
2026-09-01,sz.000090,200,3.54,708.0
2026-09-01,sh.600228,100,9.14,914.0
2026-09-01,sz.000905,100,8.785,878.52
2026-09-01,sz.002492,100,6.06,606.0
2026-09-01,sz.002016,200,4.72,944.0
2026-09-01,sz.002795,100,7.4,740.0
2026-09-01,sh.600322,300,2.75,825.0
2026-09-01,sh.603836,100,9.5,950.0
2026-09-01,sh.601319,100,7.91,791.0
2026-09-01,sz.000839,300,2.82,846.0
2026-09-01,sh.601512,100,8.37,837.0
2026-09-01,sz.000929,100,9.48,948.0
2026-09-01,sz.002316,200,4.6,920.0
2026-09-01,sh.600648,100,9.22,922.0
2026-09-01,sh.603808,100,8.89,889.0
2026-09-01,sh.600780,100,6.4,640.0
2026-09-01,sh.600573,100,10.17,1017.0
2026-09-01,sz.002461,100,8.85,885.0
2026-09-01,sh.603778,100,9.77,977.0
2026-09-01,sh.600679,100,10.2,1020.0
2026-09-01,sh.601011,300,3.11,933.0
2026-09-01,sz.000755,200,4.91,982.0
2026-09-01,sh.603551,100,9.51,951.0
2026-09-01,sh.600661,100,9.1,910.0
2026-09-01,sh.600556,200,5.03,1006.0
2026-09-01,sz.000411,100,10.16,1016.0
2026-09-01,sh.600125,100,5.53,553.0
2026-09-01,sh.600052,200,4.02,804.0
2026-09-01,sh.600004,100,7.81,781.0
2026-09-01,sz.002586,200,4.34,868.0
2026-09-01,sz.000686,100,8.21,821.0
2026-09-01,sh.600467,400,2.48,992.0
2026-09-01,sz.000631,300,3.01,903.0
2026-09-01,sh.603387,100,9.52,952.0
2026-09-01,sh.600616,200,4.46,892.0
2026-09-01,sz.002253,100,10.16,1016.0
2026-09-01,sh.600261,300,3.28,984.0
2026-09-01,sz.002839,200,4.41,882.0
2026-09-01,sh.600108,200,3.92,784.0
2026-09-01,sz.002344,200,4.08,816.0
2026-09-01,sh.601619,200,4.08,816.0
2026-09-01,sz.000692,200,4.35,870.0
2026-09-01,sz.002047,300,3.45,1035.0
2026-09-01,sz.002135,100,6.6,660.0
2026-09-01,sz.002693,100,9.15,915.0
2026-09-01,sh.600517,200,5.19,1038.0
2026-09-01,sh.603335,100,6.63,663.0
2026-09-01,sz.002677,100,6.79,679.0
2026-09-01,sz.000790,200,4.28,856.0
2026-09-01,sh.600382,100,6.52,652.0
2026-09-01,sz.000419,200,5.13,1026.0
2026-09-01,sz.000952,100,6.63,663.0
2026-09-01,sh.603007,200,5.12,1024.0
2026-09-01,sz.000563,300,3.08,924.0
2026-09-01,sz.002069,200,3.81,762.0
2026-09-01,sh.600784,100,8.16,816.0
2026-09-01,sz.002713,100,9.45,945.0
2026-09-01,sz.000791,100,7.29,729.0
2026-09-01,sz.000890,100,9.16,916.0
2026-09-01,sh.600777,200,4.08,816.0
2026-09-01,sh.601113,200,3.53,706.0
2026-09-01,sz.002021,300,2.73,819.0
2026-09-01,sh.600743,400,2.26,904.0
2026-09-01,sz.000863,200,4.21,842.0
2026-09-01,sh.600067,300,2.91,873.0
2026-09-01,sh.603839,100,6.88,688.0
2026-09-01,sh.600526,200,4.76,952.0
2026-09-01,sh.600189,100,8.05,805.0
2026-09-01,sz.000159,100,5.96,596.0
2026-09-01,sz.002753,100,6.88,688.0
2026-09-01,sh.600858,200,5.1,1020.0
2026-09-01,sz.002200,100,7.19,719.0
2026-09-01,sz.002513,100,5.64,564.0
2026-09-01,sz.000750,200,3.87,774.0
2026-09-01,sz.002702,100,5.32,532.0
2026-09-01,sz.002627,100,7.26,726.0
2026-09-01,sh.603966,100,7.57,757.0
2026-09-01,sh.600719,100,7.24,724.0
2026-09-01,sz.000529,200,5.11,1022.0
2026-09-01,sz.002060,300,3.25,975.0
2026-09-01,sh.600791,100,7.33,733.0
2026-09-01,sh.600883,100,8.27,827.0
2026-09-01,sh.603536,100,9.92,992.0
2026-09-01,sz.000978,100,6.42,642.0
2026-09-01,sh.603648,100,9.45,945.0
2026-09-01,sz.000697,100,8.75,875.0
2026-09-01,sz.002659,200,4.75,950.0
2026-09-01,sz.000925,100,9.15,915.0
2026-09-01,sz.000509,200,3.5,700.0
2026-09-01,sh.601107,100,5.95,595.0
2026-09-01,sh.600676,100,6.91,691.0
2026-09-01,sh.600713,100,5.34,534.0
2026-09-01,sh.603730,100,10.33,1033.0
2026-09-01,sh.600308,300,3.34,1002.0
2026-09-01,sz.002948,100,6.3,630.0
2026-09-01,sh.601326,200,3.64,728.0
2026-09-01,sz.002950,100,9.23,923.0
2026-09-01,sz.002524,200,4.13,826.0
2026-09-01,sh.600653,500,1.76,880.0
2026-09-01,sh.600819,100,5.77,577.0
2026-09-01,sz.002188,100,5.79,579.0
2026-09-01,sz.002283,100,8.21,821.0
2026-09-01,sz.002005,400,2.5,1000.0
2026-09-01,sh.600824,200,3.8,760.0
2026-09-01,sz.002529,100,7.24,724.0
2026-09-01,sh.600307,600,1.52,912.0
2026-09-01,sh.600165,300,3.22,966.0
2026-09-01,sz.002219,400,2.23,892.0
2026-09-01,sh.600748,200,3.9,780.0
2026-09-01,sz.002331,100,7.3,730.0
